,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
330,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",31,8,6,11,20,14,0
331,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",27,13,9,9,17,16,0
332,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",26,10,6,12,19,17,0
333,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",22,9,3,12,28,18,0
334,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",29,9,7,12,23,14,0
335,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",28,10,4,10,28,13,0
336,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",14,11,3,2,37,23,0
337,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",25,8,8,10,26,12,0
338,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",19,11,5,12,30,15,0
339,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",22,10,5,6,31,16,0
340,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",24,9,3,8,27,19,0
341,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",25,10,5,13,23,15,0
342,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",24,9,8,13,22,13,0
343,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",21,9,6,15,29,12,0
344,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",22,11,18,12,12,13,0
345,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",27,12,8,10,18,16,0
346,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",27,12,8,10,18,16,0
347,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",23,12,11,12,12,18,0
348,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",25,6,11,10,18,18,0
349,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",17,12,16,6,17,21,1
350,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",23,15,4,10,21,20,0
351,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",24,8,7,10,22,18,1
352,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",17,6,4,8,32,24,0
353,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",10,10,4,3,36,21,1
354,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",27,10,2,10,21,19,0
355,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",18,10,2,10,35,15,0
